ProjectId,ProjectStatus,ProjectUserId,RoleTypeId
5a2922f3-f0b6-42f0-afbe-c5c0af6cd4bf,2,6abb1572-6038-4c74-b98b-39a6c471a183,913e4b53-e34b-4fb5-ac4e-8fea4b73be6f
5a2922f3-f0b6-42f0-afbe-c5c0af6cd4bf,2,b927a379-2293-44ad-a71a-b5e6dd804c34,913e4b53-e34b-4fb5-ac4e-8fea4b73be6f
5a2922f3-f0b6-42f0-afbe-c5c0af6cd4bf,2,f7aae502-3378-4f0b-a636-904269ac5b2f,913e4b53-e34b-4fb5-ac4e-8fea4b73be6f
5a2922f3-f0b6-42f0-afbe-c5c0af6cd4bf,2,33f6400b-c79b-48c3-a71d-901c75fdca42,913e4b53-e34b-4fb5-ac4e-8fea4b73be6f
5a2922f3-f0b6-42f0-afbe-c5c0af6cd4bf,2,318aa8a3-3c89-43f5-88e0-fce0cbd466f4,913e4b53-e34b-4fb5-ac4e-8fea4b73be6f
4c39f72c-f103-4ccf-96e9-16110b9a33a4,2,b927a379-2293-44ad-a71a-b5e6dd804c34,913e4b53-e34b-4fb5-ac4e-8fea4b73be6f
4c39f72c-f103-4ccf-96e9-16110b9a33a4,2,6abb1572-6038-4c74-b98b-39a6c471a183,913e4b53-e34b-4fb5-ac4e-8fea4b73be6f
4c39f72c-f103-4ccf-96e9-16110b9a33a4,2,f7aae502-3378-4f0b-a636-904269ac5b2f,cc12dd97-95e7-4f30-8f88-0fa1eb614093
4c39f72c-f103-4ccf-96e9-16110b9a33a4,2,33f6400b-c79b-48c3-a71d-901c75fdca42,913e4b53-e34b-4fb5-ac4e-8fea4b73be6f
4c39f72c-f103-4ccf-96e9-16110b9a33a4,2,318aa8a3-3c89-43f5-88e0-fce0cbd466f4,913e4b53-e34b-4fb5-ac4e-8fea4b73be6f
fa4c4c95-2c9b-441c-b640-3996541032fd,2,b927a379-2293-44ad-a71a-b5e6dd804c34,913e4b53-e34b-4fb5-ac4e-8fea4b73be6f
fa4c4c95-2c9b-441c-b640-3996541032fd,2,6abb1572-6038-4c74-b98b-39a6c471a183,913e4b53-e34b-4fb5-ac4e-8fea4b73be6f
fa4c4c95-2c9b-441c-b640-3996541032fd,2,f7aae502-3378-4f0b-a636-904269ac5b2f,cc12dd97-95e7-4f30-8f88-0fa1eb614093
fa4c4c95-2c9b-441c-b640-3996541032fd,2,33f6400b-c79b-48c3-a71d-901c75fdca42,913e4b53-e34b-4fb5-ac4e-8fea4b73be6f
fa4c4c95-2c9b-441c-b640-3996541032fd,2,318aa8a3-3c89-43f5-88e0-fce0cbd466f4,913e4b53-e34b-4fb5-ac4e-8fea4b73be6f
543d5956-018d-4469-a37e-5e25b552e3de,2,6abb1572-6038-4c74-b98b-39a6c471a183,913e4b53-e34b-4fb5-ac4e-8fea4b73be6f
543d5956-018d-4469-a37e-5e25b552e3de,2,b927a379-2293-44ad-a71a-b5e6dd804c34,913e4b53-e34b-4fb5-ac4e-8fea4b73be6f
543d5956-018d-4469-a37e-5e25b552e3de,2,f7aae502-3378-4f0b-a636-904269ac5b2f,cc12dd97-95e7-4f30-8f88-0fa1eb614093
543d5956-018d-4469-a37e-5e25b552e3de,2,33f6400b-c79b-48c3-a71d-901c75fdca42,913e4b53-e34b-4fb5-ac4e-8fea4b73be6f
543d5956-018d-4469-a37e-5e25b552e3de,2,318aa8a3-3c89-43f5-88e0-fce0cbd466f4,913e4b53-e34b-4fb5-ac4e-8fea4b73be6f
f0c1d696-e8f8-495a-bb3b-0c82ddecb9c2,2,6abb1572-6038-4c74-b98b-39a6c471a183,913e4b53-e34b-4fb5-ac4e-8fea4b73be6f
f0c1d696-e8f8-495a-bb3b-0c82ddecb9c2,2,b927a379-2293-44ad-a71a-b5e6dd804c34,913e4b53-e34b-4fb5-ac4e-8fea4b73be6f
f0c1d696-e8f8-495a-bb3b-0c82ddecb9c2,2,f7aae502-3378-4f0b-a636-904269ac5b2f,cc12dd97-95e7-4f30-8f88-0fa1eb614093
f0c1d696-e8f8-495a-bb3b-0c82ddecb9c2,2,33f6400b-c79b-48c3-a71d-901c75fdca42,913e4b53-e34b-4fb5-ac4e-8fea4b73be6f
f0c1d696-e8f8-495a-bb3b-0c82ddecb9c2,2,318aa8a3-3c89-43f5-88e0-fce0cbd466f4,913e4b53-e34b-4fb5-ac4e-8fea4b73be6f
d5c9eb6d-be85-4ab6-9823-2888f84ddac3,2,b927a379-2293-44ad-a71a-b5e6dd804c34,913e4b53-e34b-4fb5-ac4e-8fea4b73be6f
d5c9eb6d-be85-4ab6-9823-2888f84ddac3,2,6abb1572-6038-4c74-b98b-39a6c471a183,913e4b53-e34b-4fb5-ac4e-8fea4b73be6f
d5c9eb6d-be85-4ab6-9823-2888f84ddac3,2,f7aae502-3378-4f0b-a636-904269ac5b2f,cc12dd97-95e7-4f30-8f88-0fa1eb614093
d5c9eb6d-be85-4ab6-9823-2888f84ddac3,2,33f6400b-c79b-48c3-a71d-901c75fdca42,913e4b53-e34b-4fb5-ac4e-8fea4b73be6f
d5c9eb6d-be85-4ab6-9823-2888f84ddac3,2,318aa8a3-3c89-43f5-88e0-fce0cbd466f4,913e4b53-e34b-4fb5-ac4e-8fea4b73be6f
16f16170-1121-4d01-a058-0f7c45c862f6,2,b927a379-2293-44ad-a71a-b5e6dd804c34,913e4b53-e34b-4fb5-ac4e-8fea4b73be6f
16f16170-1121-4d01-a058-0f7c45c862f6,2,6abb1572-6038-4c74-b98b-39a6c471a183,913e4b53-e34b-4fb5-ac4e-8fea4b73be6f
16f16170-1121-4d01-a058-0f7c45c862f6,2,f7aae502-3378-4f0b-a636-904269ac5b2f,cc12dd97-95e7-4f30-8f88-0fa1eb614093
16f16170-1121-4d01-a058-0f7c45c862f6,2,33f6400b-c79b-48c3-a71d-901c75fdca42,913e4b53-e34b-4fb5-ac4e-8fea4b73be6f
